databaseId,targetId,comparatorId
VAOMOP,141202000,331202000
VAOMOP,141202000,421202000
VAOMOP,141202000,431202000
VAOMOP,141202000,451202000
VAOMOP,261100000,331100000
VAOMOP,261100000,421100000
VAOMOP,261100000,431100000
VAOMOP,261100000,451100000
VAOMOP,261100001,331100001
VAOMOP,261100001,421100001
VAOMOP,261100001,431100001
VAOMOP,261100001,451100001
VAOMOP,261100010,331100010
VAOMOP,261100010,421100010
VAOMOP,261100010,431100010
VAOMOP,261100010,451100010
VAOMOP,261100020,331100020
VAOMOP,261100020,421100020
VAOMOP,261100020,431100020
VAOMOP,261100020,451100020
VAOMOP,261100100,331100100
VAOMOP,261100100,421100100
VAOMOP,261100100,431100100
VAOMOP,261100100,451100100
VAOMOP,261101000,331101000
VAOMOP,261101000,431101000
VAOMOP,261101000,451101000
VAOMOP,261102000,331102000
VAOMOP,261102000,421102000
VAOMOP,261102000,431102000
VAOMOP,261102000,451102000
VAOMOP,261120000,331120000
VAOMOP,261120000,421120000
VAOMOP,261120000,431120000
VAOMOP,261120000,451120000
VAOMOP,261130000,331130000
VAOMOP,261130000,421130000
VAOMOP,261130000,431130000
VAOMOP,261130000,451130000
VAOMOP,261200000,331200000
VAOMOP,261200000,421200000
VAOMOP,261200000,431200000
VAOMOP,261200000,451200000
VAOMOP,261200001,331200001
VAOMOP,261200001,421200001
VAOMOP,261200001,431200001
VAOMOP,261200001,451200001
VAOMOP,261200010,331200010
VAOMOP,261200010,421200010
VAOMOP,261200010,431200010
VAOMOP,261200010,451200010
VAOMOP,261200020,331200020
VAOMOP,261200020,421200020
VAOMOP,261200020,431200020
VAOMOP,261200020,451200020
VAOMOP,261202000,331202000
VAOMOP,261202000,421202000
VAOMOP,261202000,431202000
VAOMOP,261202000,451202000
VAOMOP,261220000,331220000
VAOMOP,261220000,421220000
VAOMOP,261220000,431220000
VAOMOP,261220000,451220000
VAOMOP,261230000,331230000
VAOMOP,261230000,421230000
VAOMOP,261230000,431230000
VAOMOP,261230000,451230000
VAOMOP,331100000,421100000
VAOMOP,331100000,431100000
VAOMOP,331100000,451100000
VAOMOP,331100001,421100001
VAOMOP,331100001,431100001
VAOMOP,331100001,451100001
VAOMOP,331100002,421100002
VAOMOP,331100002,431100002
VAOMOP,331100002,451100002
VAOMOP,331100010,421100010
VAOMOP,331100010,431100010
VAOMOP,331100010,451100010
VAOMOP,331100020,421100020
VAOMOP,331100020,431100020
VAOMOP,331100020,451100020
VAOMOP,331100100,421100100
VAOMOP,331100100,431100100
VAOMOP,331100100,451100100
VAOMOP,331101000,431101000
VAOMOP,331101000,451101000
VAOMOP,331102000,421102000
VAOMOP,331102000,431102000
VAOMOP,331102000,451102000
VAOMOP,331110000,431110000
VAOMOP,331110000,451110000
VAOMOP,331120000,421120000
VAOMOP,331120000,431120000
VAOMOP,331120000,451120000
VAOMOP,331130000,421130000
VAOMOP,331130000,431130000
VAOMOP,331130000,451130000
VAOMOP,331200000,421200000
VAOMOP,331200000,431200000
VAOMOP,331200000,451200000
VAOMOP,331200001,421200001
VAOMOP,331200001,431200001
VAOMOP,331200001,451200001
VAOMOP,331200002,421200002
VAOMOP,331200002,431200002
VAOMOP,331200002,451200002
VAOMOP,331200010,421200010
VAOMOP,331200010,431200010
VAOMOP,331200010,451200010
VAOMOP,331200020,421200020
VAOMOP,331200020,431200020
VAOMOP,331200020,451200020
VAOMOP,331200100,431200100
VAOMOP,331200100,451200100
VAOMOP,331201000,431201000
VAOMOP,331201000,451201000
VAOMOP,331202000,421202000
VAOMOP,331202000,431202000
VAOMOP,331202000,451202000
VAOMOP,331220000,421220000
VAOMOP,331220000,431220000
VAOMOP,331220000,451220000
VAOMOP,331230000,421230000
VAOMOP,331230000,431230000
VAOMOP,331230000,451230000
VAOMOP,421100000,431100000
VAOMOP,421100000,451100000
VAOMOP,421100001,431100001
VAOMOP,421100001,451100001
VAOMOP,421100002,431100002
VAOMOP,421100002,451100002
VAOMOP,421100010,431100010
VAOMOP,421100010,451100010
VAOMOP,421100020,431100020
VAOMOP,421100020,451100020
VAOMOP,421100100,431100100
VAOMOP,421100100,451100100
VAOMOP,421102000,431102000
VAOMOP,421102000,451102000
VAOMOP,421120000,431120000
VAOMOP,421120000,451120000
VAOMOP,421130000,431130000
VAOMOP,421130000,451130000
VAOMOP,421200000,431200000
VAOMOP,421200000,451200000
VAOMOP,421200001,431200001
VAOMOP,421200001,451200001
VAOMOP,421200002,431200002
VAOMOP,421200002,451200002
VAOMOP,421200010,431200010
VAOMOP,421200010,451200010
VAOMOP,421200020,431200020
VAOMOP,421200020,451200020
VAOMOP,421202000,431202000
VAOMOP,421202000,451202000
VAOMOP,421220000,431220000
VAOMOP,421220000,451220000
VAOMOP,421230000,431230000
VAOMOP,421230000,451230000
VAOMOP,431100000,451100000
VAOMOP,431100001,451100001
VAOMOP,431100002,451100002
VAOMOP,431100010,451100010
VAOMOP,431100020,451100020
VAOMOP,431100100,451100100
VAOMOP,431101000,451101000
VAOMOP,431102000,451102000
VAOMOP,431110000,451110000
VAOMOP,431120000,451120000
VAOMOP,431130000,451130000
VAOMOP,431200000,451200000
VAOMOP,431200001,451200001
VAOMOP,431200002,451200002
VAOMOP,431200010,451200010
VAOMOP,431200020,451200020
VAOMOP,431200100,451200100
VAOMOP,431201000,451201000
VAOMOP,431202000,451202000
VAOMOP,431210000,451210000
VAOMOP,431220000,451220000
VAOMOP,431230000,451230000
