databaseId,targetId,comparatorId
IMRD,111100001,121100001
IMRD,111100001,131100001
IMRD,111100001,141100001
IMRD,111100001,321100001
IMRD,111100001,331100001
IMRD,111100010,121100010
IMRD,111100010,131100010
IMRD,111100010,141100010
IMRD,111100010,321100010
IMRD,111100010,331100010
IMRD,111102000,121102000
IMRD,111102000,131102000
IMRD,111102000,141102000
IMRD,111102000,321102000
IMRD,121100000,131100000
IMRD,121100000,141100000
IMRD,121100000,321100000
IMRD,121100000,331100000
IMRD,121100001,131100001
IMRD,121100001,141100001
IMRD,121100001,321100001
IMRD,121100001,331100001
IMRD,121100002,141100002
IMRD,121100010,131100010
IMRD,121100010,141100010
IMRD,121100010,321100010
IMRD,121100010,331100010
IMRD,121100010,431100010
IMRD,121101000,131101000
IMRD,121101000,141101000
IMRD,121102000,131102000
IMRD,121102000,141102000
IMRD,121102000,321102000
IMRD,121120000,131120000
IMRD,121120000,141120000
IMRD,121120000,321120000
IMRD,121130000,131130000
IMRD,121130000,141130000
IMRD,131100000,141100000
IMRD,131100000,321100000
IMRD,131100000,331100000
IMRD,131100000,431100000
IMRD,131100001,141100001
IMRD,131100001,321100001
IMRD,131100001,331100001
IMRD,131100001,431100001
IMRD,131100010,141100010
IMRD,131100010,321100010
IMRD,131100010,331100010
IMRD,131100010,431100010
IMRD,131101000,141101000
IMRD,131102000,141102000
IMRD,131102000,321102000
IMRD,131120000,141120000
IMRD,131120000,321120000
IMRD,131130000,141130000
IMRD,141100000,321100000
IMRD,141100000,331100000
IMRD,141100000,421100000
IMRD,141100000,431100000
IMRD,141100001,321100001
IMRD,141100001,331100001
IMRD,141100001,421100001
IMRD,141100001,431100001
IMRD,141100010,321100010
IMRD,141100010,331100010
IMRD,141100010,421100010
IMRD,141100010,431100010
IMRD,141100020,421100020
IMRD,141101000,421101000
IMRD,141102000,321102000
IMRD,141102000,421102000
IMRD,141120000,321120000
IMRD,141120000,421120000
IMRD,141130000,421130000
IMRD,321100000,331100000
IMRD,321100001,331100001
IMRD,321100010,331100010
IMRD,421100000,431100000
IMRD,421100001,431100001
IMRD,421100010,431100010
